nav.bi|Analytics
rapports.miaa.emptyTitle|MIAA+ analyse vos données et génère une analyse financière complète
rapports.miaa.emptySubtitle|Compte de résultat · Trésorerie · Créances · Recommandations
rapports.miaa.errorAnalyse|Erreur lors de l\
notif.subtitle|Alertes, mises à jour et messages système
notif.all|Toutes
notif.unread|Non lues
notif.noUnread|Aucune notification non lue
notif.upToDate|Vous êtes à jour !
notif.markRead|Marquer comme lu
notif.delete|Supprimer
notif.ago|il y a
modules.title|Modules
modules.activeModules|Modules actifs
modules.available|Modules disponibles
modules.activate|Activer
modules.deactivate|Désactiver
modules.confirmActivate|Ce module sera immédiatement accessible dans votre sidebar.
modules.confirmDeactivate|Le module sera retiré de votre sidebar. Vos données sont conservées.
modules.tarif|Tarif :
modules.perMonth|/mois
modules.active|actif
modules.actives|actifs
hotel.title|Gestion Hôtelière
hotel.subtitle|Chambres, réservations, check-in/check-out
hotel.newRoom|Nouvelle chambre
hotel.newReservation|Nouvelle réservation
hotel.tabRooms|Chambres
hotel.tabReservations|Réservations
hotel.totalRooms|Chambres totales
hotel.available|Disponibles
hotel.occupancyRate|Taux occupation
hotel.monthRevenue|Revenu ce mois
hotel.searchRoom|Rechercher une chambre…
hotel.searchClient|Rechercher un client…
hotel.room|Chambre
hotel.floor|Étage
hotel.noRooms|Aucune chambre — commencez par en ajouter une
hotel.persons|pers.
hotel.perNight|/nuit
hotel.noReservations|Aucune réservation
hotel.colClient|Client
hotel.colRoom|Chambre
hotel.colArrival|Arrivée
hotel.colDeparture|Départ
hotel.colNights|Nuits
hotel.colAmount|Montant
hotel.colStatus|Statut
hotel.colActions|Actions
hotel.checkin|Check-in
hotel.checkout|Check-out
hotel.formRoomNumber|Numéro *
hotel.formType|Type *
hotel.formPrice|Prix / nuit (FCFA) *
hotel.formCapacity|Capacité (pers.)
hotel.formFloor|Étage
hotel.formStatus|Statut
hotel.formDescription|Description
hotel.formDescPlaceholder|Vue mer, balcon, jacuzzi…
hotel.formClientName|Nom du client *
hotel.formPhone|Téléphone
hotel.formPersons|Nb personnes
hotel.formArrival|Arrivée *
hotel.formDeparture|Départ *
hotel.formRoomSelect|Chambre
hotel.formNoRoom|Sans chambre attribuée
hotel.errorNumAndPrice|Numéro et prix requis
hotel.errorClientAndDates|Client et dates requis
hotel.statusAvailable|Disponible
hotel.statusOccupied|Occupée
hotel.statusReserved|Réservée
hotel.statusMaintenance|Maintenance
hotel.resaConfirmed|Confirmée
hotel.resaPending|En attente
hotel.resaArrived|Arrivée
hotel.resaDeparted|Départ
hotel.resaCancelled|Annulée
transport.title|Transport VTC
transport.subtitle|Gestion de flotte, courses et chauffeurs
transport.newDriver|Nouveau chauffeur
transport.newCourse|Nouvelle course
transport.tabCourses|Courses
transport.tabDrivers|Chauffeurs
transport.tabStats|Statistiques
transport.totalCourses|Total courses
transport.completed|Terminées
transport.activeDrivers|Chauffeurs actifs
transport.allCourses|Toutes
transport.noCourses|Aucune course enregistrée
transport.noDrivers|Aucun chauffeur enregistré
transport.colClient|Client
transport.colRoute|Trajet
transport.colDriver|Chauffeur
transport.colFare|Tarif
transport.colStatus|Statut
transport.colActions|Actions
transport.start|Démarrer
transport.finish|Terminer
transport.cancel|Annuler
transport.disable|Désactiver
transport.enable|Activer
transport.license|Permis :
transport.modalCourseTitle|Nouvelle course
transport.modalDriverTitle|Nouveau chauffeur
transport.selectDriver|Sélectionner un chauffeur
transport.clientName|Nom client *
transport.clientPhone|Téléphone
transport.departure|Point de départ *
transport.destination|Destination *
transport.distance|Distance (km)
transport.fare|Tarif (FCFA) *
transport.createCourse|Créer la course
transport.driverFullName|Nom complet *
transport.driverLicense|N° de permis
transport.vehicleModel|Modèle véhicule
transport.plate|Plaque
transport.statsSuccessRate|Taux de réussite
transport.statsPending|Courses en attente
transport.statsCancelled|Courses annulées
transport.revenueByDriver|Revenus par chauffeur
transport.noDriver|Aucun chauffeur
transport.statusAvailable|Disponible
transport.statusInactive|Inactif
transport.statusOnRide|En course
transport.statusPending|En attente
transport.statusInProgress|En cours
transport.statusDone|Terminée
transport.statusCancelled|Annulée
resto.title|Restaurant & POS
resto.caToday|CA du jour
resto.waiting|en attente
resto.tabCaisse|🧾 Caisse
resto.tabCommandes|📋 Commandes
resto.tabMenu|🍽️ Menu
resto.tabTables|📍 Tables & QR
resto.tabRecettes|📖 Recettes
resto.tabAchats|🛒 Achats
resto.tabRapport|📊 Rapport du jour
resto.kpiOrders|Commandes
resto.kpiWaiting|En attente/prép
resto.kpiDishes|Plats au menu
resto.allCategories|Tous
resto.takeaway|À emporter
resto.selectDishes|Sélectionnez des plats
resto.subtotalHT|Sous-total HT
resto.tva|TVA (18%)
resto.ca|CA (5% TVA)
resto.totalTTC|Total TTC
resto.validatePrint|Valider & Imprimer reçu
resto.recentOrders|commande(s) récentes
resto.refresh|Actualiser
resto.inPrep|En préparation
resto.readyToServe|Prêt à servir
resto.delivered|Livré
resto.noOrder|Aucune commande
resto.table|Table
resto.takeOut|Emporter
resto.markReady|Marquer prêt
resto.markDelivered|Marquer livré
resto.addDish|Ajouter un plat
resto.emptyMenu|Menu vide — ajoutez des plats
resto.colDish|Plat
resto.colCategory|Catégorie
resto.colPrice|Prix
resto.colStatus|Statut
resto.addDishTitle|Ajouter un plat
resto.emojiLabel|Emoji
resto.dishNameLabel|Nom du plat *
resto.categoryLabel|Catégorie
resto.priceLabel|Prix (FCFA)
resto.addTableTitle|Ajouter une table
resto.tableNum|N° Table *
resto.tableName|Nom
resto.tableCapacity|Capacité
resto.createTable|Créer la table
resto.noTable|Aucune table configurée
resto.places|places
resto.copyLink|Copier lien
resto.copied|Copié !
resto.clientPage|Page client
resto.recipesTitle|Recettes — ingrédients par plat
resto.recipesDesc|Liez les ingrédients (stock) à chaque plat. Le stock se décrémente automatiquement à chaque vente.
resto.selectDish|Sélectionner un plat
resto.selectDishOption|— Choisir un plat du menu —
resto.currentIngredients|Ingrédients actuels
resto.colIngredient|Ingrédient
resto.colQtyPortion|Qté / portion
resto.colUnit|Unité
resto.addIngredientSection|Ajouter un ingrédient
resto.fromStock|Depuis le stock
resto.orManual|Ou saisir manuellement
resto.ingredientName|Nom ingrédient
resto.qty|Qté
resto.unit|Unité
resto.selectDishPrompt|Sélectionnez un plat pour gérer sa recette
resto.recentPurchases|achat(s) récent(s)
resto.newPurchase|Nouvel achat
resto.purchaseTitle|Enregistrer un achat fournisseur
resto.supplier|Fournisseur *
resto.supplierName|Nom du fournisseur
resto.date|Date
resto.paymentMode|Mode de paiement
resto.note|Note
resto.articleLines|Articles
resto.addLine|Ajouter une ligne
resto.articleName|Ingrédient / article
resto.stockSelect|Stock…
resto.purchaseQty|Qté
resto.unitPrice|Prix unitaire
resto.purchaseTotal|Total
resto.noPurchase|Aucun achat enregistré
resto.noPurchaseDesc|Enregistrez vos achats fournisseurs pour mettre à jour le stock
resto.colDate|Date
resto.colSupplier|Fournisseur
resto.colMode|Mode
resto.colArticles|Articles
resto.colTotal|Total
resto.article|article(s)
resto.rapportCaTTC|CA TTC
resto.rapportCaHT|CA HT
resto.rapportTVA|TVA collectée
resto.rapportNbOrders|Nb commandes
resto.caByHour|CA par heure
resto.paymentBreakdown|Répartition paiements
resto.top5Dishes|Top 5 plats du jour
resto.stockAlerts|Alertes stock
resto.rupture|RUPTURE
resto.threshold|seuil :
resto.closeCaisse|Clôture de caisse
resto.closeCaisseDesc|La clôture enregistre le rapport journalier dans Supabase et lie les données à la trésorerie.
resto.closeCaisseBtn|Clôturer la caisse du jour
resto.orderSaved|Commande enregistrée !
resto.receiptNum|Reçu N°
resto.close|Fermer
resto.downloadPDF|Télécharger PDF
resto.indispo|INDISPO
resto.cancelOrder|Commande annulée
resto.errorOrder|Erreur : 
resto.purchaseSaved|Achat enregistré !
resto.cashierClosed|Caisse clôturée avec succès !
resto.cuisine.title|Écran Cuisine
resto.cuisine.subtitle|commande(s) active(s) · Mise à jour auto toutes les 10s
resto.cuisine.noOrder|Aucune commande en attente
resto.cuisine.autoRefresh|La liste s\
resto.cuisine.markDelivered|Marquer livré
resto.cuisine.noCmd|Aucune commande
ged.cat.all|Tous
ged.cat.contrats|Contrats
ged.cat.factures|Factures
ged.cat.rh|RH
ged.cat.compta|Comptabilité
ged.cat.juridique|Juridique
ged.cat.commercial|Commercial
ged.cat.technique|Technique
ged.cat.autre|Autre
ged.archiveBtn|Archiver
ged.folder.all|Tous les documents
ged.folder.favorites|Favoris
ged.folder.toSign|À signer
ged.folder.title|Dossiers
ged.folder.new|Nouveau dossier
ged.folder.newPlh|Nom du dossier
ged.folder.create|Créer
ged.folder.deleteConfirm|Supprimer ce dossier ?
ged.viewGrid|Grille
ged.viewList|Liste
ged.favoriteOn|Marquer comme favori
ged.favoriteOff|Retirer des favoris
ged.descLabel|Description
ged.dateDocLabel|Date du document
ged.dossierLabel|Dossier
ged.tagsLabel|Tags
ged.confidentielLabel|Confidentiel
ged.doc.expiringSoon|Expire bientôt
ged.doc.expired|Expiré
ged.doc.signs|signatures
ged.sig.title|Signature électronique
ged.sig.draw|Signez dans le cadre ci-dessous
ged.sig.clear|Effacer
ged.sig.sign|Valider la signature
ged.sig.signing|Enregistrement…
ged.sig.cancel|Annuler
ged.sig.name|Votre nom *
ged.sig.role|Votre rôle
ged.sig.success|Signature enregistrée
ged.cat.bulletin|Bulletins
ged.cat.diplome|Diplômes
ged.cat.attestation|Attestations
cal.title|Calendrier
cal.subtitle|Événements, réunions, deadlines
cal.newEvent|Nouvel événement
cal.thisMonth|Ce mois
cal.today|Aujourd\
cal.reunions|Réunions
cal.deadlines|Deadlines
cal.noEvents|Aucun événement
cal.allDay|Journée entière
cal.location|Lieu
cal.description|Description
cal.type.event|Événement
cal.type.reunion|Réunion
cal.type.deadline|Deadline
cal.type.examen|Examen
cal.type.paiement|Paiement
cal.type.conge|Congé
cal.type.tache|Tâche
cal.type.rappel|Rappel
cal.type.formation|Formation
cal.statut.planifie|Planifié
cal.statut.confirme|Confirmé
cal.statut.annule|Annulé
cal.statut.termine|Terminé
cal.edit|Modifier
cal.delete|Supprimer
cal.save|Enregistrer
cal.cancel|Annuler
tasks.title|Tâches & Collaboration
tasks.subtitle|Kanban board · Suivi temps réel
tasks.addTask|Ajouter une tâche
tasks.noTasks|Aucune tâche
tasks.priority.basse|Basse
tasks.priority.normale|Normale
tasks.priority.haute|Haute
tasks.priority.urgente|Urgente
tasks.statut.todo|À faire
tasks.statut.en_cours|En cours
tasks.statut.en_attente|En attente
tasks.statut.termine|Terminé
tasks.due|Échéance
tasks.assignedTo|Assigné à
tasks.tags|Tags
tasks.comments|Commentaires
tasks.addComment|Ajouter un commentaire…
tasks.save|Enregistrer
tasks.delete|Supprimer
tasks.overdue|En retard
tasks.filterAll|Toutes
ecole.direction.periode.tout|Toutes périodes
ecole.direction.periode.mois|Ce mois
ecole.direction.periode.annee|Cette année
ecole.direction.fin.totalEncaisse|Total encaissé
ecole.direction.fin.nbPaiements|Nombre de paiements
ecole.direction.fin.moyenne|Moyenne par étudiant
ecole.direction.fin.repartitionMode|Répartition par mode de paiement
ecole.direction.fin.historique|Historique des paiements
ecole.direction.kpi.totalBourses|Total bourses
ecole.direction.kpi.gestionImpayes|Gestion des impayés
ecole.direction.kpi.gestionImpayesDesc|Bloquer automatiquement les élèves ayant des impayés
ecole.direction.kpi.effectifsClasse|Effectifs par classe
ecole.direction.kpi.noClasse|Aucune classe
ecole.direction.kpi.derniersPaiements|Derniers paiements
ecole.direction.kpi.diplomes|Diplômés
ecole.direction.bourse.montant|Montant
ecole.direction.bourse.libellePlaceholder|Description de la bourse…
ecole.direction.comm.publier|Publier une annonce
ecole.direction.comm.messagePlaceholder|Texte de l\
ecole.direction.comm.noAnnonce|Aucune annonce
ecole.direction.comm.destinataires|Destinataires
ecole.direction.partner.descPlaceholder|Description du partenariat…
ecole.direction.partner.contactPlaceholder|Nom du contact…
daac.title|DAAC — Direction des Affaires Académiques
daac.subtitle|Programmes, sessions, examens, délibérations, diplômes & soutenances
daac.kpi.activeStudents|Étudiants actifs
daac.kpi.activeSessions|Sessions en cours
daac.kpi.pendingDiplomas|Diplômes en attente
daac.kpi.scheduledDefenses|Soutenances planif.
daac.tab.matieres|Matières
daac.tab.sessions|Sessions
daac.tab.examens|Examens & Notes
daac.tab.attestations|Attestations
daac.tab.diplomes|Diplômes
daac.tab.soutenances|Soutenances
student.title|Espace Étudiant
student.subtitle|Accédez à votre dossier scolaire
student.myFile|Mon Dossier
student.myFileSubtitle|Résultats, paiements, absences
student.switchAccount|Changer de compte
student.accessFile|Accès à mon dossier
student.idPlaceholder|Ex : ETU-2024-001
student.adminSubtitle|Administration · Dossier élève
student.backToSearch|Retour à la recherche
student.searchPlaceholder|N° étudiant, nom, prénom…
student.search|Rechercher
student.searchPrompt|Recherchez un étudiant par nom ou numéro
student.suspended|Accès suspendu
student.unblock|Débloquer
student.suspend|Suspendre
student.unlockCode|Code de déblocage :
student.totalPaid|Total payé
student.globalAvg|Moyenne générale
student.absences|Absences
student.justified|justifiées
student.alerts|Alertes
student.unread|non lues
student.tab.notes|Mes notes
student.tab.paiements|Paiements
student.tab.absences|Absences
student.tab.alertes|Notifications
student.noNote|Aucune note enregistrée.
student.noPayment|Aucun paiement enregistré.
student.noAbsence|Aucune absence enregistrée.
student.noNotif|Aucune notification
student.col.subject|Matière
student.col.type|Type
student.col.note|Note
student.col.max|/Max
student.col.avg20|Moy /20
student.col.coeff|Coeff.
student.col.mention|Mention
student.col.date|Date
student.col.libelle|Libellé
student.col.mode|Mode
student.col.amount|Montant
student.col.status|Statut
student.col.motif|Motif
student.paid|Payé
student.pending|En attente
student.justified2|Justifiée
student.unjustified|Non justifiée
parent.title|Espace Parent
parent.subtitle|Dossier de votre enfant
parent.childrenSubtitle|Suivi de vos enfants
parent.myChildren|Mes enfants
parent.childrenOf|enfant
parent.childrenOfPl|enfants
parent.noChild|Aucun enfant trouvé
parent.adminSubtitle|Administration · Dossier famille
parent.search|Rechercher
parent.searchPrompt|Recherchez un parent ou un élève
parent.contacts|Contacts
parent.father|Père :
parent.mother|Mère :
parent.suspended|Accès suspendu — solde impayé détecté
parent.tab.notes|Résultats
parent.tab.paiements|Paiements
parent.tab.absences|Absences
parent.tab.alertes|Alertes
parent.noNote|Aucune note disponible.
parent.noPayment|Aucun paiement enregistré.
parent.noAbsence|Aucune absence enregistrée.
parent.noAlert|Aucune alerte pour cet enfant
parent.back|← Retour
parent.loading|Chargement…
miaa.school.title|MIAA+
miaa.school.subtitle|Assistant IA scolaire — analyse & insights en temps réel
miaa.school.loadCtx|Charger le contexte
miaa.school.refresh|Actualiser
miaa.school.suggestions|Suggestions
miaa.school.quickAnalysis|Analyses rapides
miaa.school.ctxActive|Contexte actif
miaa.school.ctxNone|Sans contexte
miaa.school.placeholder|Posez votre question…
miaa.school.placeholderNoCtx|Chargez le contexte puis posez votre question…
miaa.school.kpi.activeStudents|Élèves actifs
miaa.school.kpi.yearRevenue|Revenus (année)
miaa.school.kpi.suspension|Taux suspension
miaa.school.kpi.avgGrade|Moy. générale
miaa.school.kpi.payments|paiements scolaires
miaa.school.kpi.blocked|élèves bloqués
miaa.school.kpi.graded|notes saisies
miaa.school.students|Élèves
miaa.school.grades|Notes
miaa.school.absences|Absences
miaa.school.payments|Paiements
dir.ecole.title|Direction École
dir.ecole.subtitle|Pilotage stratégique — effectifs, finances & académique
dir.ecole.tab.vue|Vue Globale
dir.ecole.tab.finances|Finances
dir.ecole.tab.evenements|Événements
dir.ecole.tab.bourses|Bourses
dir.ecole.tab.partenaires|Partenaires
dir.ecole.tab.communication|Communication
dir.ecole.tab.diplomes|Diplômes
dir.ecole.tab.soutenances|Soutenances
dir.ecole.kpi.revenuMois|Revenu du mois
dir.ecole.kpi.etudiants|Étudiants
dir.ecole.kpi.impayes|Impayés
dir.ecole.kpi.enseignants|Enseignants actifs
dir.ecole.kpi.classes|Classes
dir.ecole.kpi.diplomes|Diplômés
dir.ecole.unpaid|Gestion des impayés
dir.ecole.unpaidDesc|Suspendre automatiquement les étudiants actifs sans paiement cette année. Un code de déblocage est généré pour chacun.
dir.ecole.blockBtn|Bloquer
dir.ecole.blockBtnSuffix|impayé(s)
dir.ecole.classByHeadcount|Effectifs par classe
dir.ecole.noClass|Aucune classe configurée.
dir.ecole.lastPayments|Derniers paiements
formateur.title|Espace Formateur
formateur.subtitle|Cours, devoirs, examens & paiements
formateur.tab.dashboard|Tableau de bord
formateur.tab.cours|Cours & Supports
formateur.tab.devoirs|Devoirs
formateur.tab.examens|Examens & Notes
formateur.tab.heures|Mes Heures
formateur.tab.paiements|Paiements
formateur.statut.declare|Déclaré
formateur.statut.validated|Validé
formateur.statut.paye|Payé
formateur.loading|Chargement de votre espace…
compta.overview.title|Comptabilité OHADA
compta.overview.subtitle|Journal, grand livre et états financiers
compta.overview.addEntry|Ajouter une écriture
compta.overview.newEntry|Nouvelle écriture
compta.overview.noEntries|Aucune écriture comptable
compta.overview.export|Exporter
compta.overview.allEntries|Toutes les écritures
compta.overview.recette|Recette
compta.overview.depense|Dépense
compta.overview.kpi.ca|Chiffre d\
compta.overview.kpi.charges|Charges totales
compta.overview.kpi.solde|Solde net
compta.overview.kpi.treso|Trésorerie
compta.overview.kpi.tva|TVA due
compta.overview.kpi.impaye|Factures impayées
compta.overview.modules|Modules comptables
compta.overview.recentEntries|Écritures récentes
compta.overview.doubleEntry|Grand livre en partie double
compta.overview.journal|Journal
compta.overview.balance|Balance
compta.overview.bilan|Bilan
compta.overview.tva|TVA
compta.overview.rapports|Rapports
compta.overview.immobilisations|Immobilisations
compta.overview.centresCouts|Centres de coûts
compta.overview.rapprochement|Rapprochement
compta.overview.alertes|Alertes
compta.overview.alertesTva|Déclaration TVA ce mois
compta.overview.alertesBilan|Bilan trimestriel à préparer
compta.ecole.title|Comptabilité & Finance
compta.ecole.subtitle|Journal OHADA · Grand Livre · Bilan · Trésorerie
compta.ecole.tab.journal|Journal OHADA
compta.ecole.tab.grandlivre|Grand Livre
compta.ecole.tab.bilan|Bilan
compta.ecole.tab.tresorerie|Trésorerie
compta.ecole.tab.previsions|Prévisions IA
compta.journal.title|Journal Comptable OHADA
compta.journal.subtitle|Écritures en partie double — générées automatiquement
compta.journal.exportCSV|Exporter CSV
compta.journal.entries|écriture(s) affichée(s)
compta.journal.totalDebit|Total débit
compta.journal.totalCredit|Total crédit
compta.journal.balance|Équilibre
compta.journal.balanced|✓ Équilibré
compta.journal.fiscal|Exercice
compta.journal.searchPlh|Libellé, N° compte, pièce…
compta.journal.allSources|Toutes sources
compta.journal.colDate|Date
compta.journal.colPiece|Pièce
compta.journal.colLabel|Libellé
compta.journal.colDebitNo|N° Débit
compta.journal.colDebit|Débit
compta.journal.colCreditNo|N° Crédit
compta.journal.colCredit|Crédit
compta.journal.colSource|Source
compta.journal.empty|Aucune écriture pour cette période
compta.journal.emptyDesc|Les écritures sont créées automatiquement par les triggers lors de chaque opération financière.
compta.journal.totalPeriod|TOTAL PÉRIODE
compta.journal.ohadaPlan|PLAN COMPTABLE OHADA — COMPTES UTILISÉS
compta.journal.src.facture|Facture
compta.journal.src.achat|Achat
compta.journal.src.paie|Paie
compta.journal.src.cheque|Chèque
compta.journal.src.virement|Virement
compta.journal.src.caisse|Caisse
compta.journal.src.transfer|Transfert
compta.journal.src.mobile|Mobile Money
compta.journal.src.tva|TVA
compta.journal.src.stock|Stock
compta.journal.src.manuel|Manuel
compta.grandlivre.title|Grand Livre
compta.grandlivre.subtitle|Comptes OHADA détaillés par exercice
compta.grandlivre.searchPlh|Rechercher un compte…
compta.grandlivre.allAccounts|Tous les comptes
compta.grandlivre.empty|Aucun mouvement sur ce compte
compta.grandlivre.colCompte|Compte
compta.grandlivre.colDate|Date
compta.grandlivre.colLabel|Libellé
compta.grandlivre.colDebit|Débit
compta.grandlivre.colCredit|Crédit
compta.grandlivre.colSolde|Solde
compta.grandlivre.totalDebit|Total Débit
compta.grandlivre.totalCredit|Total Crédit
compta.grandlivre.solde|Solde
compta.balance.title|Balance des Comptes
compta.balance.subtitle|Récapitulatif des soldes par compte OHADA
compta.balance.empty|Aucune donnée de balance disponible
compta.balance.colCompte|Compte
compta.balance.colIntitule|Intitulé
compta.balance.colDebit|Total Débit
compta.balance.colCredit|Total Crédit
compta.balance.colSolde|Solde
compta.balance.totalRow|TOTAL
compta.balance.equilibre|Équilibre comptable
compta.balance.equilibreOk|✓ Balance équilibrée
compta.balance.equilibreKo|⚠ Déséquilibre détecté
compta.bilan.title|Bilan Comptable OHADA
compta.bilan.subtitle|Actif / Passif selon le référentiel OHADA
compta.bilan.actif|ACTIF
compta.bilan.passif|PASSIF
compta.bilan.totalActif|TOTAL ACTIF
compta.bilan.totalPassif|TOTAL PASSIF
compta.bilan.empty|Aucune donnée disponible
compta.bilan.immobilisations|Immobilisations
compta.bilan.stocks|Stocks
compta.bilan.creances|Créances clients
compta.bilan.tresorerie|Trésorerie
compta.bilan.capitalReserves|Capitaux & Réserves
compta.bilan.dettes|Dettes
compta.bilan.resultat|Résultat
compta.tva.title|Déclaration TVA
compta.tva.subtitle|Calcul et déclaration TVA mensuelle
compta.tva.collectee|TVA Collectée
compta.tva.deductible|TVA Déductible
compta.tva.due|TVA à Décayer
compta.tva.credit|Crédit de TVA
compta.tva.periode|Période
compta.tva.exportDGI|Exporter pour DGI
compta.tva.empty|Aucune opération TVA pour cette période
compta.tva.periodLabel|Déclaration de la période
compta.plan.title|Plan Comptable OHADA
compta.plan.subtitle|Référentiel des comptes selon OHADA
compta.plan.searchPlh|Rechercher un compte…
compta.plan.allClasses|Toutes classes
compta.plan.empty|Aucun compte trouvé
compta.plan.colNum|N° Compte
compta.plan.colIntitule|Intitulé
compta.plan.colClass|Classe
compta.plan.colType|Type
compta.plan.addClass|Ajouter un compte
compta.tiers.title|Tiers Comptables
compta.tiers.subtitle|Clients, fournisseurs et partenaires
compta.tiers.searchPlh|Rechercher un tiers…
compta.tiers.allTypes|Tous types
compta.tiers.clients|Clients
compta.tiers.fournisseurs|Fournisseurs
compta.tiers.empty|Aucun tiers enregistré
compta.tiers.colNom|Nom
compta.tiers.colType|Type
compta.tiers.colSolde|Solde
compta.tiers.colDernier|Dernière opération
compta.tiers.addTiers|Ajouter un tiers
compta.immob.title|Immobilisations
compta.immob.subtitle|Actifs immobilisés & amortissements OHADA
compta.immob.newAsset|Nouvel actif
compta.immob.searchPlh|Rechercher une immobilisation…
compta.immob.empty|Aucune immobilisation enregistrée
compta.immob.colDesig|Désignation
compta.immob.colValeur|Valeur brute
compta.immob.colAmort|Amort. cumulé
compta.immob.colValNet|Val. nette
compta.immob.colDuree|Durée
compta.immob.colDate|Date acquisition
compta.rapproch.title|Rapprochement Bancaire
compta.rapproch.subtitle|Réconciliation soldes banque / comptabilité
compta.rapproch.searchPlh|Rechercher…
compta.rapproch.empty|Aucun écart de rapprochement
compta.rapproch.soldeCompta|Solde comptabilité
compta.rapproch.soldeBanque|Solde banque
compta.rapproch.ecart|Écart
compta.rapproch.reconcile|Rapprocher
compta.rapproch.ok|✓ Rapproché
compta.cloture.title|Clôture Comptable
compta.cloture.subtitle|Clôture de période et reports à nouveau
compta.cloture.newCloture|Nouvelle clôture
compta.cloture.empty|Aucune clôture enregistrée
compta.cloture.colPeriode|Période
compta.cloture.colDate|Date clôture
compta.cloture.colStatut|Statut
compta.cloture.colUser|Utilisateur
compta.cloture.stat.ouvert|Ouvert
compta.cloture.stat.cloture|Clôturé
compta.cloture.stat.valide|Validé
compta.cloture.confirm|Confirmer la clôture de cette période ?
compta.rapports.title|Rapports Comptables
compta.rapports.subtitle|États financiers OHADA & analyses
compta.rapports.cr|Compte de Résultat
compta.rapports.bilan|Bilan
compta.rapports.flux|Flux de Trésorerie
compta.rapports.produits|Produits
compta.rapports.charges|Charges
compta.rapports.resultat|Résultat net
compta.rapports.actif|Actif
compta.rapports.passif|Passif
compta.rapports.exportPDF|Exporter PDF
compta.rapports.exportXLS|Exporter Excel
compta.cc.title|Centres de Coûts
compta.cc.subtitle|Analyse des charges par centre analytique
compta.cc.newCenter|Nouveau centre
compta.cc.searchPlh|Rechercher un centre…
compta.cc.empty|Aucun centre de coûts configuré
compta.cc.colNom|Centre
compta.cc.colCode|Code
compta.cc.colTotal|Total charges
compta.cc.colBudget|Budget
compta.cc.colEcart|Écart
treso.cheques.title|Chèques
treso.cheques.subtitle|Suivi des chèques émis et reçus
treso.cheques.new|Nouveau chèque
treso.cheques.stat.attente|En attente
treso.cheques.stat.encaisse|Encaissé
treso.cheques.stat.rejete|Rejeté
treso.cheques.stat.annule|Annulé
treso.cheques.stat.echus|Échus
treso.cheques.kpi.attente|En attente
treso.cheques.kpi.encaisses|Encaissés
treso.cheques.kpi.rejetes|Rejetés
treso.cheques.kpi.echus|Échus
treso.cheques.kpi.retard|chèque(s) en retard
treso.cheques.filterAll|Tous statuts
treso.cheques.searchPlh|N° chèque, bénéficiaire…
treso.cheques.colNum|N° Chèque
treso.cheques.colBenef|Bénéficiaire
treso.cheques.colBanque|Banque
treso.cheques.colEmis|Émission
treso.cheques.colEcheance|Échéance
treso.cheques.colMontant|Montant
treso.cheques.colStatut|Statut
treso.cheques.colActions|Actions
treso.cheques.empty|Aucun chèque
treso.cheques.encaisser|Encaisser
treso.cheques.rejeter|Rejeter
treso.cheques.confirmEncaiss|Marquer ce chèque comme encaissé ?
treso.cheques.confirmRejet|Marquer ce chèque comme rejeté ?
treso.cheques.notifCreated|Chèque enregistré ✓
treso.cheques.notifEncaisse|Chèque encaissé ✓
treso.cheques.notifRejete|Chèque marqué rejeté
treso.cheques.modalTitle|Enregistrer un chèque
treso.cheques.formNum|N° Chèque *
treso.cheques.formBanque|Banque
treso.cheques.formBenef|Bénéficiaire *
treso.cheques.formMontant|Montant (FCFA) *
treso.cheques.formEmis|Date émission
treso.cheques.formEcheance|Date échéance
treso.cheques.formCompte|Compte bancaire
treso.cheques.formMotif|Motif
treso.cheques.formMotifPlh|Objet du paiement (optionnel)
treso.cheques.formNoCompte|— Aucun —
treso.virements.title|Virements Bancaires
treso.virements.subtitle|Ordres de virement inter-comptes
treso.virements.new|Nouveau virement
treso.virements.searchPlh|Bénéficiaire, référence…
treso.virements.filterAll|Tous statuts
treso.virements.empty|Aucun virement
treso.virements.colDate|Date
treso.virements.colBenef|Bénéficiaire
treso.virements.colMontant|Montant
treso.virements.colRef|Référence
treso.virements.colStatut|Statut
treso.virements.colActions|Actions
treso.virements.stat.pending|En attente
treso.virements.stat.valide|Validé
treso.virements.stat.rejete|Rejeté
treso.virements.modalTitle|Nouveau virement
treso.virements.formBenef|Bénéficiaire *
treso.virements.formMontant|Montant (FCFA) *
treso.virements.formMotif|Motif / référence
treso.virements.formCompte|Compte source
treso.virements.confirmValid|Valider ce virement ?
treso.historique.title|Historique des Transactions
treso.historique.subtitle|Toutes les opérations de trésorerie
treso.historique.searchPlh|Rechercher une transaction…
treso.historique.filterAll|Toutes opérations
treso.historique.empty|Aucune transaction
treso.historique.colDate|Date
treso.historique.colLabel|Libellé
treso.historique.colMontant|Montant
treso.historique.colType|Type
treso.historique.colCompte|Compte
treso.historique.colSolde|Solde après
treso.historique.totalPeriod|Total période
treso.rapproch.title|Rapprochements Bancaires
treso.rapproch.subtitle|Réconciliation relevés bancaires
treso.rapproch.import|Importer relevé
treso.rapproch.searchPlh|Rechercher…
treso.rapproch.empty|Aucun écart à rapprocher
treso.rapproch.soldeBanque|Solde relevé
treso.rapproch.soldeCompta|Solde comptabilité
treso.rapproch.ecart|Écart
treso.rapproch.reconcileBtn|Rapprocher
treso.rembours.title|Remboursements
treso.rembours.subtitle|Avances et remboursements employés
